trigger	prefix	body	letter
,	_a	ā	alif
,	_A	Ā	alif
,	-a	ā	alif
,	-A	Ā	alif
,	b	b	bāʾ
,	t	t	tāʾ
,	_t	ṯ	thāʾ
,	_T	Ṯ	thāʾ
,	-t	ṯ	thāʾ
,	-T	Ṯ	thāʾ
,	^g	ǧ	jīm
,	^G	Ǧ	jīm
,	6g	ǧ	jīm
,	6G	Ǧ	jīm
,	*h	ḥ	ḥāʾ
,	*H	Ḥ	ḥāʾ
,	8h	ḥ	ḥāʾ
,	8H	Ḥ	ḥāʾ
,	.h	ḥ	ḥāʾ
,	.H	Ḥ	ḥāʾ
,	_h	ḫ	khāʾ
,	_H	Ḫ	khāʾ
,	-h	ḫ	khāʾ
,	-H	Ḫ	khāʾ
,	d	d	dāl
,	_d	ḏ	dhāl
,	_D	Ḏ	dhāl
,	-d	ḏ	dhāl
,	-D	Ḏ	dhāl
,	r	r	rāʾ
,	z	z	zayn
,	s	s	sīn
,	^s	š	shīn
,	^S	Š	shīn
,	6s	š	shīn
,	6S	Š	shīn
,	*s	ṣ	ṣād
,	*S	Ṣ	ṣād
,	8s	ṣ	ṣād
,	8S	Ṣ	ṣād
,	.s	ṣ	ṣād
,	.S	Ṣ	ṣād
,	*d	ḍ	ḍād
,	*D	Ḍ	ḍād
,	8d	ḍ	ḍād
,	8D	Ḍ	ḍād
,	.d	ḍ	ḍād
,	.D	Ḍ	ḍād
,	*t	ṭ	ṭāʾ
,	*T	Ṭ	ṭāʾ
,	8t	ṭ	ṭāʾ
,	8T	Ṭ	ṭāʾ
,	.t	ṭ	ṭāʾ
,	.T	Ṭ	ṭāʾ
,	*z	ẓ	ẓāʾ
,	*Z	Ẓ	ẓāʾ
,	8z	ẓ	ẓāʾ
,	8Z	Ẓ	ẓāʾ
,	.z	ẓ	ẓāʾ
,	.Z	Ẓ	ẓāʾ
,	`	ʿ	ʿayn
,	>	ʿ	ʿayn
,	*g	ġ	ghayn
,	*G	Ġ	ghayn
,	8g	ġ	ghayn
,	8G	Ġ	ghayn
,	.g	ġ	ghayn
,	.G	Ġ	ghayn
,	f	f	fāʾ
,	*k	ḳ	qāf
,	*K	Ḳ	qāf
,	8k	ḳ	qāf
,	8K	Ḳ	qāf
,	.k	ḳ	qāf
,	.K	Ḳ	qāf
,	k	k	kāf
,	l	l	lām
,	m	m	mīm
,	n	n	nūn
,	h	h	hāʾ
,	w	w	wāw
,	_u	ū	wāw
,	_U	Ū	wāw
,	-u	ū	wāw
,	-U	Ū	wāw
,	y	y	yāʾ
,	_i	ī	yāʾ
,	_I	Ī	yāʾ
,	-i	ī	yāʾ
,	-I	Ī	yāʾ
,	=t	ŧ	tāʾ marbūṭaŧ
,	'	ʾ	hamzaŧ
,	<	ʾ	hamzaŧ
,	~a	ã	dagger alif
,	~A	Ã	dagger alif
,	`a	ã	dagger alif
,	`A	Ã	dagger alif
,	/a	á	alif maḳṣūraŧ
,	/A	Á	alif maḳṣūraŧ
